CONTENTS,END_PRD_DE,FULL_PATH_ID,ITEM03,LINK_URL,MT_ATITLE,ORG_ID,ORG_NM,QUERY,REC_TBL_SE,STAT_DB_CNT,STAT_ID,STAT_NM,STRT_PRD_DE,TBL_ID,TBL_NM,TBL_VIEW_URL,VW_CD,_keyword
가상분류 데이터 재정자립도 재정자주도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_217 > 217A_797_79701 > 217A_797_79701_001 > 217A_797_79701_001_014,자료 : 예산법무과,http://kosis.kr/statHtml/statHtml.do?orgId=797&tblId=DT_797001_N012,지역통계 > 지자체 기본통계 > 경상남도 > 경상남도김해시기본통계 > 2015년 이후 > 재정,797,경상남도 김해시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2015,DT_797001_N012,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_217.3;217A_797_79701.4;217A_797_79701_001.5;217A_797_79701_001_014.6;,MT_ZTITLE,지방지표
지표현황별 지방재정자립지표 기준재정수요충족도 재정자립도 재정자주도,2024,V > V_1 > V_1_213 > 213_213A_698_69801 > 213_213A_698_69801_N,자료: 기획예산과,http://kosis.kr/statHtml/statHtml.do?orgId=698&tblId=DT_69801_N000007,지역통계 > 지자체 기본통계 > 충청남도 > 충청남도금산군기본통계 > 재정,698,충청남도 금산군,지방지표,N,496,MT_OTITLE12,시군구기본통계,2013,DT_69801_N000007,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_213.3;213_213A_698_69801.4;213_213A_698_69801_N.5;,MT_ZTITLE,지방지표
행정구역별 재정자립도 기준재정 수요충족도(재정력지수) 재정자주도 진주시,2024,V > V_1 > V_1_217 > 217A_793_79302 > 217A_793_79302_N,자료 : 기획예산과,http://kosis.kr/statHtml/statHtml.do?orgId=793&tblId=DT_793002_N000001,지역통계 > 지자체 기본통계 > 경상남도 > 경상남도진주시기본통계 > 재정,793,경상남도 진주시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2019,DT_793002_N000001,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_217.3;217A_793_79302.4;217A_793_79302_N.5;,MT_ZTITLE,지방지표
재정종류별 연별 기준재정 수요충족도(재정력지수) 재정자립도 재정자주도,2024,V > V_1 > V_1_210 > 210_210A_639_63901 > 210_210A_639_63901_N,자료 : 경기도 예산담당관,http://kosis.kr/statHtml/statHtml.do?orgId=639&tblId=DT_639001_N000001,지역통계 > 지자체 기본통계 > 경기도 > 경기도포천시기본통계 > 재정,639,경기도 포천시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2021,DT_639001_N000001,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_210.3;210_210A_639_63901.4;210_210A_639_63901_N.5;,MT_ZTITLE,지방지표
재정별 지방재정자립지표 재정자립도 재정자주도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_210 > 210_210A_627_62701 > 210_210A_627_62701_N,"자료 : 기획예산과, 경기도 예산담당관,「지방재정연감」 행정안전부, 「지방자치단체 통합재정개요」 행정안전부 재정정책과, 시도(재정력지수) 주 : 기준일: 2023.1.1..",http://kosis.kr/statHtml/statHtml.do?orgId=627&tblId=DT_62701_N000027,지역통계 > 지자체 기본통계 > 경기도 > 경기도의왕시기본통계 > 재정,627,경기도 의왕시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2013,DT_62701_N000027,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_210.3;210_210A_627_62701.4;210_210A_627_62701_N.5;,MT_ZTITLE,지방지표
행정구역(시군)별 재정자립도 재정자주도 기준재정 수요충족도(재정력지수) 경상남도 의령군 함양군 거창군 김해시 거제시 합계 산청군 합천군 창원시 진주시 밀양시 고성군 남해군 통영시 사천시 양산시 함안군 창녕군 하동군,2024,V > V_1 > V_1_217 > 217_217003 > 217_217003_2000 > 217_217003_2000_N,자료 : 예산담당관,http://kosis.kr/statHtml/statHtml.do?orgId=217&tblId=DT_217003N_N016,지역통계 > 지자체 기본통계 > 경상남도 > 경상남도기본통계 > 2000년 이후 > 재정,217,경상남도,지방지표,N,496,MT_OTITLE11,시도기본통계,2011,DT_217003N_N016,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_217.3;217_217003.4;217_217003_2000.5;217_217003_2000_N.6;,MT_ZTITLE,지방지표
가상분류 데이터 기준재정 수요충족도(재정력지수) 재정자립도 재정자주도,2024,V > V_1 > V_1_214 > 214A_716_001 > 214A_716_001_014,"자료 : 「지방재정365」 행정안전부, 김제시 기획감사실",http://kosis.kr/statHtml/statHtml.do?orgId=716&tblId=DT_716001_N010,지역통계 > 지자체 기본통계 > 전북특별자치도 > 전북특별자치도김제시기본통계 > 재정,716,전북특별자치도 김제시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2012,DT_716001_N010,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_214.3;214A_716_001.4;214A_716_001_014.5;,MT_ZTITLE,지방지표
가상분류 데이터 재정자주도 재정자립도 기준재정수요충족도(재정력지수),2024,V > V_1 > V_1_213 > 213_213A_692_69201 > 213_213A_692_69201_N,"자료: 기획감사실, 「행정안전통계연보」 행정안전부",http://kosis.kr/statHtml/statHtml.do?orgId=692&tblId=DT_692_N_2013060,지역통계 > 지자체 기본통계 > 충청남도 > 충청남도공주시기본통계 > 재정,692,충청남도 공주시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2013,DT_692_N_2013060,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_213.3;213_213A_692_69201.4;213_213A_692_69201_N.5;,MT_ZTITLE,지방지표
구분별 재정자립지표 기준재정수요충족도(재정력지수) 재정자주도 재정자립도,2024,V > V_1 > V_1_206 > 206_206A_591_59101 > 206_206A_591_59101_N,자료 : 기획홍보실,http://kosis.kr/statHtml/statHtml.do?orgId=591&tblId=DT_591001_N000001,지역통계 > 지자체 기본통계 > 대전광역시 > 대전광역시동구기본통계 > 재정,591,대전광역시 동구,지방지표,N,496,MT_OTITLE12,시군구기본통계,2012,DT_591001_N000001,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_206.3;206_206A_591_59101.4;206_206A_591_59101_N.5;,MT_ZTITLE,지방지표
가상분류 데이터 재정자주도 재정자립도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_217 > 217A_803_80301 > 217A_803_80301_N,자료 : 기획예산담당관,http://kosis.kr/statHtml/statHtml.do?orgId=803&tblId=DT_80301_N009,지역통계 > 지자체 기본통계 > 경상남도 > 경상남도창녕군기본통계 > 재정,803,경상남도 창녕군,지방지표,N,496,MT_OTITLE12,시군구기본통계,2013,DT_80301_N009,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_217.3;217A_803_80301.4;217A_803_80301_N.5;,MT_ZTITLE,지방지표
